run_id,model,dataset,prompt,shots,perturb,perturb_exemplar,accuracy
bf999634-fcf8-4513-b803-30f771a8adad,gptturbo,gsm8k,ltm,8,typo,True,0.7414708112206216
bff384be-43b8-46cf-b63b-11f7525a53e1,gptturbo,gsm8k,ltm,8,repetition,False,0.7498104624715694
4276a163-0315-438a-a7d0-a674ec59524f,gptturbo,gsm8k,ltm,8,repetition,True,0.7672479150871873
a3245074-6541-4640-8adf-b8fedbf0f911,gptturbo,gsm8k,cot,1,synonym,True,0.6580742987111448
60408ef5-4f99-4384-8426-31f931d29f6b,gptturbo,gsm8k,cot,2,synonym,False,0.6504927975739196
92966178-ece5-4c11-aa22-4524f1ef4632,gptturbo,gsm8k,cot,2,synonym,True,0.6679302501895376
5d078948-e0db-4d41-b246-527a7110472e,gptturbo,gsm8k,cot,1,synonym,False,0.6573161485974223
42d01cfc-6c93-4951-b219-23fc2c5ace22,gptturbo,gsm8k,ltm,1,synonym,True,0.6209249431387415
4b6bafb0-17dd-488e-8a68-c6f446e9cb2f,gptturbo,gsm8k,cot,4,synonym,False,0.6497346474601972
8aa3a9c3-3b1f-4ff4-b991-b033d1484f3b,gptturbo,gsm8k,ltm,1,synonym,False,0.6467020470053071
d92fe473-a04e-469e-9ef8-c75a435d83a7,gptturbo,gsm8k,cot,4,synonym,True,0.7179681576952237
9978ff6a-f3e8-4eee-afd6-799107840658,gptturbo,gsm8k,0cot,1,synonym,False,0.6876421531463229
6f470391-fed2-4b61-a9a7-1d17ad8a8696,gptturbo,gsm8k,ltm,2,synonym,True,0.6876421531463229
82a731e9-4eee-4742-8aba-52f7c894976b,gptturbo,gsm8k,ltm,2,synonym,False,0.6702047005307051
a791d671-b3e7-4bfe-ac36-34b329300eda,gptturbo,gsm8k,cot,8,synonym,True,0.7354056103108415
2bb2ce51-3251-427a-8e9e-7882709cac59,gptturbo,gsm8k,cot,8,synonym,False,0.6990144048521607
bca7add3-7920-495d-be8f-28cba2dc215a,gptturbo,gsm8k,ltm,4,synonym,False,0.6664139499620925
9319fba3-bff1-4c39-977a-bd610b4727b3,gptturbo,gsm8k,ltm,4,synonym,True,0.6982562547384382
84d57ac5-5fb0-4b6c-9af5-2dc669345faf,gptturbo,gsm8k,ltm,8,synonym,False,0.6959818043972706
99666e19-4bbd-4d0c-acac-a6544acbdb16,gptturbo,gsm8k,ltm,8,synonym,True,0.7126611068991661
